"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2025","49.19","48.79","49.54","48.49","30.30K","-0.30%"
"07/08/2025","49.34","49.66","49.81","49.28","20.08K","-2.01%"
"06/08/2025","50.35","50.25","50.94","50.20","93.49K","0.38%"
"05/08/2025","50.16","50.54","50.59","50.03","16.54K","-1.63%"
"04/08/2025","50.99","51.26","51.42","50.10","117.11K","-0.39%"
"01/08/2025","51.19","52.72","52.79","51.18","29.50K","-2.33%"
"31/07/2025","52.41","53.16","53.37","52.50","39.25K","-1.37%"
"30/07/2025","53.14","52.84","53.14","52.28","36.96K","2.81%"
"29/07/2025","51.69","51.10","51.73","51.08","19.17K","1.62%"
"28/07/2025","50.87","50.29","51.24","50.03","60.24K","1.44%"
"25/07/2025","50.15","50.77","50.81","50.19","4.65K","-1.01%"
"24/07/2025","50.65","50.50","50.68","50.27","21.50K","1.65%"
"23/07/2025","49.83","50.04","50.07","49.78","10.38K","-0.09%"
"22/07/2025","49.88","50.24","50.25","49.82","16.43K","-0.76%"
"21/07/2025","50.26","50.44","50.52","50.00","11.85K","-0.55%"
"18/07/2025","50.54","50.84","51.22","50.41","31.84K","0.72%"
"17/07/2025","50.18","49.78","50.19","49.74","4.87K","1.35%"
"16/07/2025","49.51","50.04","50.04","49.39","15.03K","-1.37%"
"15/07/2025","50.20","49.91","50.17","49.86","6.26K","-0.02%"
"14/07/2025","50.21","50.92","51.50","50.17","24.29K","-1.23%"
"11/07/2025","50.83","49.85","50.86","49.67","40.66K","2.18%"
"10/07/2025","49.75","50.70","50.81","49.77","51.41K","-2.11%"
"09/07/2025","50.82","50.64","51.02","50.28","38.19K","0.47%"
"08/07/2025","50.58","50.04","50.58","49.94","28.56K","1.26%"
"07/07/2025","49.95","49.15","49.99","49.14","22.64K","1.20%"
"04/07/2025","49.36","49.48","49.49","49.07","6.12K","-0.22%"
"03/07/2025","49.47","49.48","49.88","49.47","38.22K","1.20%"
"02/07/2025","48.88","48.40","49.01","48.33","69.77K","1.26%"
"01/07/2025","48.28","48.33","48.55","48.00","3.90K","0.68%"
"30/06/2025","47.95","48.02","48.39","47.93","8.50K","-0.33%"
"27/06/2025","48.11","48.42","48.55","48.11","29.30K","-1.47%"
"26/06/2025","48.83","48.29","48.80","47.93","48.74K","1.01%"
"25/06/2025","48.34","48.57","48.63","47.76","225.98K","-0.10%"
"24/06/2025","48.39","48.85","49.67","48.12","109.73K","-10.69%"
"23/06/2025","54.18","55.27","55.28","53.78","191.81K","0.09%"
"20/06/2025","54.13","54.35","54.63","53.50","44.39K","-2.42%"
"19/06/2025","55.47","54.66","55.71","54.20","47.92K","4.19%"
"18/06/2025","53.24","53.93","54.58","52.77","237.09K","-0.06%"
"17/06/2025","53.27","51.80","53.45","51.78","55.64K","4.66%"
"16/06/2025","50.90","53.03","53.04","50.22","72.31K","-2.02%"
"13/06/2025","51.95","51.52","53.37","51.30","53.05K","5.04%"
"12/06/2025","49.46","49.34","49.50","48.90","30.97K","1.65%"
"11/06/2025","48.65","47.59","48.65","47.54","8.53K","0.56%"
"10/06/2025","48.38","47.81","48.28","47.76","14.43K","1.50%"
"09/06/2025","47.67","47.23","47.75","47.14","9.38K","0.93%"
"06/06/2025","47.22","46.57","47.36","46.40","13.26K","1.02%"
"05/06/2025","46.75","46.41","46.90","46.37","28.56K","1.39%"
"04/06/2025","46.11","46.62","47.02","46.03","47.05K","-1.74%"
"03/06/2025","46.92","46.20","46.89","46.01","26.31K","1.89%"
"02/06/2025","46.06","45.75","46.32","45.75","2.84K","3.66%"
"30/05/2025","44.43","44.98","45.68","44.43","148.76K","-1.74%"
"29/05/2025","45.22","46.55","46.55","45.41","4.49K","-1.90%"
"28/05/2025","46.09","45.46","46.12","45.41","52.70K","2.26%"
"27/05/2025","45.07","45.81","45.83","45.07","10.81K","-1.90%"
"23/05/2025","45.94","45.34","45.68","44.93","13.03K","1.00%"
"22/05/2025","45.49","45.33","45.67","45.12","56.42K","-1.33%"
"21/05/2025","46.10","46.78","46.86","46.08","32.22K","0.27%"
"20/05/2025","45.98","46.28","46.37","45.92","9.82K","-0.43%"
"19/05/2025","46.18","45.86","46.25","45.72","2.98K","0.27%"
"16/05/2025","46.06","45.64","46.00","45.64","42.93K","0.94%"
"15/05/2025","45.63","45.66","45.79","45.49","4.38K","-2.64%"
