"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2025","2.2877","2.2607","2.3152","2.2470","24.75K","1.20%"
"07/08/2025","2.2605","2.2622","2.2936","2.2458","0.13K","-0.10%"
"06/08/2025","2.2628","2.2529","2.3185","2.2391","65.80K","0.56%"
"05/08/2025","2.2502","2.3070","2.3207","2.2470","62.69K","-2.91%"
"04/08/2025","2.3176","2.2800","2.3310","2.2664","65.10K","1.56%"
"03/08/2025","2.2821","2.2742","2.2855","2.2716","0.47K","-0.77%"
"01/08/2025","2.2999","2.3985","2.4051","2.2850","77.92K","-4.15%"
"31/07/2025","2.3995","2.4240","2.4357","2.3930","2.04K","-0.79%"
"30/07/2025","2.4185","2.4580","2.4645","2.3940","16.62K","-1.84%"
"29/07/2025","2.4638","2.4276","2.4772","2.3989","20.31K","1.53%"
"28/07/2025","2.4266","2.3965","2.4598","2.3921","26.17K","0.85%"
"25/07/2025","2.4062","2.4080","2.4408","2.3957","25.99K","0.73%"
"24/07/2025","2.3887","2.4225","2.4516","2.3581","79.84K","-1.41%"
"23/07/2025","2.4228","2.4228","2.4306","2.3873","63.73K","0.07%"
"22/07/2025","2.4210","2.4639","2.4640","2.3985","66.00K","-2.23%"
"21/07/2025","2.4761","2.4270","2.4790","2.4088","66.52K","0.94%"
"18/07/2025","2.4530","2.4726","2.5939","2.4470","75.47K","-0.47%"
"17/07/2025","2.4646","2.3916","2.4708","2.3847","51.63K","3.06%"
"16/07/2025","2.3915","2.4130","2.4195","2.3554","52.00K","-0.57%"
"15/07/2025","2.4052","2.3807","2.4289","2.3646","79.68K","0.64%"
"14/07/2025","2.3898","2.4642","2.4819","2.3788","78.71K","-2.35%"
"11/07/2025","2.4474","2.3996","2.4676","2.3770","58.77K","2.68%"
"10/07/2025","2.3835","2.4103","2.4338","2.3711","58.85K","-1.07%"
"09/07/2025","2.4092","2.4380","2.4650","2.3870","74.36K","-1.31%"
"08/07/2025","2.4413","2.4112","2.4556","2.3952","55.45K","0.83%"
"07/07/2025","2.4211","2.3736","2.4356","2.3730","77.93K","0.51%"
"04/07/2025","2.4088","2.3668","2.4187","2.3418","13.50K","1.65%"
"03/07/2025","2.3698","2.4165","2.4235","2.3668","78.45K","-1.74%"
"02/07/2025","2.4117","2.3338","2.4205","2.3207","91.30K","3.64%"
"01/07/2025","2.3269","2.2695","2.3385","2.2547","70.95K","-0.81%"
"30/06/2025","2.3458","2.3210","2.3855","2.3129","2.48K","1.67%"
"27/06/2025","2.3072","2.3826","2.3826","2.2800","16.15K","-2.24%"
"26/06/2025","2.3601","2.3089","2.3911","2.2964","28.46K","2.77%"
"25/06/2025","2.2964","2.3242","2.3360","2.2817","26.03K","0.49%"
"24/06/2025","2.2851","2.3221","2.3221","2.2200","32.31K","-2.27%"
"23/06/2025","2.3382","2.6380","2.6706","2.2839","136.91K","-8.01%"
"20/06/2025","2.5418","2.5310","2.6950","2.5245","57.76K","-2.08%"
"19/06/2025","2.5959","2.5429","2.6955","2.5214","18.02K","2.47%"
"18/06/2025","2.5334","2.5258","2.5544","2.4700","45.63K","1.13%"
"17/06/2025","2.5051","2.3796","2.5275","2.3699","76.83K","4.67%"
"16/06/2025","2.3933","2.4600","2.4898","2.2998","89.39K","1.47%"
"13/06/2025","2.3587","2.2071","2.3963","2.2023","106.14K","7.77%"
"12/06/2025","2.1887","2.2185","2.2205","2.1693","60.13K","-0.75%"
"11/06/2025","2.2053","2.1387","2.2103","2.1272","59.59K","2.97%"
"10/06/2025","2.1416","2.1464","2.1751","2.1317","69.11K","-0.22%"
"09/06/2025","2.1464","2.1331","2.1499","2.1198","64.82K","0.99%"
"06/06/2025","2.1253","2.0945","2.1315","2.0799","67.99K","1.47%"
"05/06/2025","2.0945","2.0701","2.1080","2.0606","50.80K","1.18%"
"04/06/2025","2.0701","2.1032","2.1118","2.0600","67.25K","-1.42%"
"03/06/2025","2.0999","2.0546","2.1076","2.0491","74.79K","2.71%"
"02/06/2025","2.0445","2.0038","2.0882","2.0038","64.19K","1.35%"
"30/05/2025","2.0172","2.0448","2.0601","2.0065","4.03K","-1.51%"
"29/05/2025","2.0482","2.0870","2.1150","2.0429","23.87K","-1.09%"
"28/05/2025","2.0707","2.0596","2.0935","2.0510","69.36K","0.86%"
"27/05/2025","2.0530","2.0837","2.0937","2.0478","74.52K","-0.68%"
"26/05/2025","2.0671","2.0700","2.0908","2.0595","10.84K","-1.02%"
"25/05/2025","2.0885","2.0810","2.0938","2.0798","","0.53%"
"23/05/2025","2.0775","2.0785","2.0870","2.0505","71.61K","-0.24%"
"22/05/2025","2.0826","2.1058","2.1058","2.0527","63.64K","-1.04%"
"21/05/2025","2.1044","2.1004","2.1449","2.0845","69.12K","0.49%"
"20/05/2025","2.0941","2.0901","2.1083","2.0750","58.31K","0.13%"
"19/05/2025","2.0913","2.1058","2.1088","2.0761","62.26K","-2.30%"
"16/05/2025","2.1406","2.1672","2.1820","2.1350","70.19K","-1.17%"
"15/05/2025","2.1660","2.1892","2.1929","2.1336","79.89K","-1.82%"
"14/05/2025","2.2061","2.1800","2.2174","2.1594","85.49K","1.60%"
"13/05/2025","2.1713","2.1112","2.1828","2.1026","74.46K","2.85%"
"12/05/2025","2.1111","2.0770","2.1411","2.0696","70.99K","2.16%"
"09/05/2025","2.0664","2.0539","2.0806","2.0454","83.83K","1.29%"
"08/05/2025","2.0400","1.9701","2.0578","1.9700","83.45K","3.21%"
"07/05/2025","1.9766","2.0016","2.0330","1.9712","67.45K","-1.60%"
"06/05/2025","2.0088","1.9788","2.0299","1.9757","60.08K","1.74%"
"05/05/2025","1.9745","1.9600","1.9901","1.9338","55.27K","-0.94%"
"02/05/2025","1.9932","2.0051","2.0270","1.9760","64.52K","-0.93%"
"01/05/2025","2.0120","2.0023","2.0215","1.9623","72.55K","-1.21%"
"30/04/2025","2.0367","2.0963","2.1000","2.0263","4.97K","-3.95%"
"29/04/2025","2.1204","2.1829","2.1829","2.1048","27.75K","-2.53%"
"28/04/2025","2.1755","2.1715","2.2007","2.1579","38.55K","0.38%"
"25/04/2025","2.1673","2.1492","2.1801","2.1322","32.63K","1.10%"
"24/04/2025","2.1437","2.1271","2.1489","2.1187","21.17K","3.02%"
"23/04/2025","2.0809","2.1110","2.1355","2.0556","67.94K","-1.07%"
"22/04/2025","2.1034","2.0787","2.1181","2.0787","52.09K","1.68%"
"21/04/2025","2.0686","2.1055","2.1076","2.0586","36.78K","-3.89%"
"17/04/2025","2.1523","2.1191","2.1679","2.1133","47.90K","1.74%"
"16/04/2025","2.1154","2.0924","2.1255","2.0649","40.61K","1.78%"
"15/04/2025","2.0784","2.0916","2.1107","2.0688","44.97K","-0.64%"
"14/04/2025","2.0917","2.0709","2.1075","2.0656","38.26K","1.28%"
"11/04/2025","2.0653","2.0545","2.0775","2.0283","54.12K","0.92%"
"10/04/2025","2.0464","2.1226","2.1288","2.0261","58.87K","-3.18%"
"09/04/2025","2.1136","2.0232","2.1345","1.9373","82.96K","2.75%"
